periode_data,tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
201302,2013-02-13,DKI2 (Kelapa Gading),49,10,22,213,19,213,O3,SANGAT TIDAK SEHAT
201302,2013-02-14,DKI2 (Kelapa Gading),69,16,28,224,19,224,O3,SANGAT TIDAK SEHAT
201302,2013-02-15,DKI2 (Kelapa Gading),52,11,28,196,17,196,O3,TIDAK SEHAT
201302,2013-02-16,DKI2 (Kelapa Gading),33,7,14,174,8,174,O3,TIDAK SEHAT
201302,2013-02-17,DKI2 (Kelapa Gading),28,5,17,134,9,134,O3,TIDAK SEHAT
201302,2013-02-18,DKI2 (Kelapa Gading),34,8,19,153,14,153,O3,TIDAK SEHAT
201302,2013-02-19,DKI2 (Kelapa Gading),33,7,17,104,14,104,O3,TIDAK SEHAT
201302,2013-02-20,DKI2 (Kelapa Gading),44,8,23,145,10,145,O3,TIDAK SEHAT
201302,2013-02-21,DKI2 (Kelapa Gading),34,7,21,152,12,152,O3,TIDAK SEHAT
201302,2013-02-22,DKI2 (Kelapa Gading),32,6,16,64,10,64,O3,SEDANG
201302,2013-02-23,DKI2 (Kelapa Gading),31,5,14,168,10,168,O3,TIDAK SEHAT
201302,2013-02-24,DKI2 (Kelapa Gading),51,5,18,217,13,217,O3,SANGAT TIDAK SEHAT
201302,2013-02-25,DKI2 (Kelapa Gading),42,6,15,134,14,134,O3,TIDAK SEHAT
201302,2013-02-26,DKI2 (Kelapa Gading),47,5,14,213,10,213,O3,SANGAT TIDAK SEHAT
201302,2013-02-27,DKI2 (Kelapa Gading),43,5,16,230,13,230,O3,SANGAT TIDAK SEHAT
201302,2013-02-28,DKI2 (Kelapa Gading),40,6,13,185,7,185,O3,TIDAK SEHAT
201302,2013-02-01,DKI3 (Jagakarsa),31,2,17,91,11,91,O3,SEDANG
201302,2013-02-02,DKI3 (Jagakarsa),31,2,26,72,10,72,O3,SEDANG
201302,2013-02-03,DKI3 (Jagakarsa),19,2,40,115,9,115,O3,TIDAK SEHAT
201302,2013-02-04,DKI3 (Jagakarsa),51,4,45,128,11,128,O3,TIDAK SEHAT
201302,2013-02-05,DKI3 (Jagakarsa),20,1,21,158,10,158,O3,TIDAK SEHAT
201302,2013-02-06,DKI3 (Jagakarsa),18,1,15,52,5,52,O3,SEDANG
201302,2013-02-07,DKI3 (Jagakarsa),16,1,27,101,10,101,O3,TIDAK SEHAT
